Angle_1,Angle_2,Angle_3,Label
37.568592028827496,113.19859051364818,95.9061411137705,Standing
37.568592028827496,113.86833001330736,95.9061411137705,Standing
38.65980825409009,114.05734945001174,96.5569464981634,Standing
38.65980825409009,114.48248589734712,96.48307369289724,Standing
38.65980825409009,114.48248589734712,97.1250163489018,Standing
37.40535663140856,114.05734945001174,96.48307369289724,Standing
36.68972283247581,113.38522105721376,95.83949231151745,Standing
36.501441120506314,111.8895567699047,95.83949231151745,Standing
35.960517196644886,111.44773632710536,96.48307369289724,Standing
36.68972283247581,111.00322271143426,97.1250163489018,Standing
36.68972283247581,110.10623479835934,97.28895232361013,Standing
36.68972283247581,108.13018691250093,99.8060927598971,Standing
36.34745820888528,106.27967320213052,102.83560948640144,Standing
34.64094751191629,103.53585636913425,106.50436138175503,Standing
32.94921511659045,100.98865109649398,107.19854122006586,Standing
31.90810693565316,97.45429881274848,111.92177859395915,Standing
33.97654403625686,94.55376797915864,111.28640511365909,Standing
34.902495615924714,93.0664855011259,110.94265054998827,Standing
38.29016319224307,91.00508600525419,112.67134362198085,Standing
40.85537625889571,90.0,112.67134362198085,Standing
48.57633437499735,89.49741833327897,110.22485943116808,Standing
56.309932474020215,89.00365210349509,106.55707137563665,Standing
60.10109816138544,87.51044707800085,103.851419013805,Standing
68.4286928087454,83.55046529615772,94.69868051729944,Standing
65.92450174492117,83.49437335431632,90.78482460299189,Standing
72.71850162818336,77.79953127261922,82.6004053401129,Standing
71.56505117707799,78.78936687112332,81.14204123637165,Standing
84.8055710922652,77.79953127261922,81.7643806757905,Standing
87.39743779750019,79.93093730111059,94.69868051729944,Standing
84.68545433005525,82.54570118725154,92.32153058983272,Standing
85.91438322002513,83.07278187399083,104.03624346792648,Standing
87.13759477388825,83.71750791183861,113.4286928087454,Standing
85.71084667118099,82.01988625483148,115.01689347810004,Standing
96.7889745744388,81.41637851988605,107.61257784292383,Standing
104.93141717813755,79.93093730111059,95.79279649503216,Standing
109.23067237566129,78.99645914825051,90.85509739626673,Standing
116.05349531049094,75.59331484356314,89.10482628978893,Standing
118.85566121971651,75.83783194468725,88.23760897633949,Standing
121.13897243697885,77.5825542099237,84.38241940987318,Standing
122.79953127261923,77.69198418257209,83.85337434035333,Standing
124.90249561592474,76.58381651815911,84.72610404264823,Standing
129.36931724236476,75.83783194468725,89.07595464722729,Standing
126.86989764584402,74.4454287299256,94.92710994764901,Standing
129.36931724236476,74.59657503753037,96.00900595749452,Standing
129.52263127117112,74.59657503753037,92.79270236571328,Standing
144.1178627537958,75.40342447450583,84.8055710922652,Standing
148.09189306434686,75.25643716352927,74.21924669048461,Standing
147.89374404488217,77.66091272167381,67.28558764683277,Standing
147.14427804956702,77.53506715793502,67.55724663470565,Standing
149.21585347367358,78.23171106797936,72.2995722113328,Standing
146.30993247402023,80.93349726018383,77.82854179141253,Standing
140.01311375503582,86.38611924799636,91.12330271407544,Standing
143.3929251873925,85.60129464500447,90.0,Standing
128.92754359279232,90.64374571417538,97.66680426181418,Standing
127.23483398157467,91.99787985647667,94.48460600954462,Standing
122.61924307119284,90.0,101.76828893202065,Standing
116.56505117707799,87.33699923393286,101.53462065364472,Standing
98.74616226255522,89.31793960682735,92.29061004263853,Standing
100.88552705465874,88.63607246839707,91.16913932790742,Standing
79.11447294534128,90.69869438298348,71.22196677755446,Standing
58.3924977537511,94.82076607809266,69.44395478041653,Standing
65.22485943116808,94.13467137373642,70.49755149333778,Standing
65.09523119190482,94.87927378300672,70.49755149333778,Standing
60.25511870305778,95.50547785797835,71.56505117707799,Standing
63.43494882292201,94.08561677997488,74.8459319496874,Standing
53.13010235415598,98.79741070999107,91.12330271407544,Standing
51.84277341263094,99.46232220802563,94.48460600954462,Standing
51.58194465517801,101.44104386876742,100.68491240000272,Standing
51.58194465517801,101.5751888173962,103.29857033049429,Standing
52.52382043863863,101.5751888173962,103.29857033049429,Standing
52.815293546766874,101.5751888173962,103.29857033049429,Standing
53.74616226255522,101.71247231108751,103.06931789628217,Standing
55.00797980144134,98.22672246410818,100.73889710090545,Standing
52.52382043863863,95.97432328648063,82.0106732336031,Standing
55.00797980144134,95.1944289077348,80.38027220030115,Standing
51.115503566285405,96.3401917459099,77.07400087529405,Standing
53.97262661489639,96.89242312248516,76.18497465873838,Standing
52.85331330197822,95.52754015165618,81.74056202012119,Standing
49.6858998395027,96.07245640720771,89.07595464722729,Standing
48.81407483429036,96.00900595749452,89.09061955080087,Standing
45.0,98.38324848092935,92.72631099390628,Standing
